jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06664361,0.1759313,0.1743825,0.1573996,0.2006249,0.2993135,-0.001116828,-8.816381e-05,0.01902527,0.2121997,0.02478079,0.01612729,0.02710781,0.04159008,0.02642368,2.951032e-05,0.01516392,0.03359395,0.0219103,0.04422777,0.07051548,0.1058766,0.0,0.1597795,0.03865179,0.02228008,0.0193485,0,
0.0860039,0.2055642,0.2002916,0.1633583,0.2061426,0.3007554,-0.00102984,-8.113786e-05,0.02483687,0.2200784,0.02474375,0.01611883,0.02778886,0.03503448,0.0296939,2.715858e-05,0.01465166,0.02999234,0.01949947,0.0411578,0.07527971,0.1057508,0.0,0.1635646,0.04061547,0.02070261,0.01798543,0,
0.09567957,0.2430351,0.2389221,0.1686485,0.2093705,0.2961113,-0.0009488484,-7.467183e-05,0.02812797,0.2312897,0.02492179,0.01624306,0.03013285,0.0311387,0.03525779,2.499426e-05,0.01396821,0.02788589,0.01796536,0.03898287,0.07727782,0.1054356,0.0,0.1672505,0.04182541,0.01962014,0.01699148,0,
0.1002917,0.2582248,0.2544661,0.1709796,0.2109909,0.2835784,-0.00087381,-6.872108e-05,0.02986055,0.2393484,0.02532257,0.01649394,0.03134482,0.02897888,0.04969481,2.300242e-05,0.01324378,0.02654728,0.01687961,0.0370396,0.0781445,0.1054527,0.0,0.1689341,0.04205818,0.01881307,0.01620509,0,
0.1027075,0.2657521,0.2621751,0.1723149,0.2117798,0.2713271,-0.0008044833,-6.324457e-05,0.03098357,0.2428861,0.02573289,0.01675529,0.03258087,0.02755382,0.05528468,2.116931e-05,0.01210011,0.02557453,0.01604674,0.03546816,0.07851203,0.1054958,0.0,0.1696215,0.04198861,0.01813306,0.01550789,0,
0.1037119,0.2693732,0.2658145,0.1730006,0.2121081,0.2667216,-0.0007405377,-5.820448e-05,0.03181534,0.2444174,0.02615868,0.01699156,0.03336557,0.02657559,0.05888908,1.948228e-05,0.01136642,0.02491747,0.01537833,0.0344322,0.07856449,0.1061939,0.0,0.1701916,0.04166469,0.01757381,0.01489638,0,
0.09737207,0.2303866,0.2225493,0.1731114,0.2116959,0.2640294,-0.0006816112,-5.356605e-05,0.03221817,0.2344617,0.02649553,0.0171475,0.03392318,0.02595251,0.06033608,1.79297e-05,0.01091645,0.02449718,0.01482542,0.0337022,0.0785642,0.1069647,0.0,0.1706198,0.03951913,0.01710537,0.0143585,0,
0.07492328,0.1706844,0.1636108,0.1698232,0.2023121,0.2376595,-0.0006273396,-4.929727e-05,0.03218262,0.181173,0.02672869,0.01723094,0.03448607,0.02583657,0.05624187,1.650085e-05,0.01069751,0.02451367,0.01446778,0.03360851,0.07837824,0.1074207,0.0,0.1710127,0.03382245,0.01675582,0.01393441,0,
0.05187053,0.1132463,0.1042907,0.1498709,0.1811116,0.2028457,-0.000577371,-4.536867e-05,0.03078924,0.1604473,0.02674089,0.01717831,0.03454426,0.02915014,0.04516235,1.518586e-05,0.0107131,0.02790506,0.01445408,0.03453561,0.0761043,0.1081,0.0,0.1709894,0.03003685,0.01651706,0.01362469,0,
0.03634646,0.08425717,0.07594156,0.1316769,0.1598518,0.1630609,-0.0005313728,-4.175316e-05,0.02557404,0.1439979,0.02664453,0.01706204,0.03418257,0.04930569,0.03627586,1.397567e-05,0.0110794,0.05127078,0.01605326,0.0381901,0.0723848,0.1115931,0.0,0.1697383,0.02519522,0.01648782,0.0134829,0,
0.02801791,0.06756857,0.05960195,0.1230868,0.1493997,0.1328174,-0.0004890339,-3.842576e-05,0.02176108,0.1286543,0.02646787,0.01694365,0.03343388,0.06231719,0.03155169,1.286192e-05,0.01141027,0.07869411,0.02757846,0.04543255,0.06865361,0.1129357,0.0,0.1610151,0.02313707,0.01667087,0.01349494,0,
0.02311915,0.0586464,0.0510068,0.1158677,0.1383609,0.1022528,-0.0004500658,-3.536353e-05,0.01893836,0.1202923,0.02645187,0.01696067,0.03278753,0.0781844,0.0291776,1.183693e-05,0.01175379,0.110982,0.04637852,0.05088051,0.06494203,0.1137464,0.0,0.1584702,0.02200853,0.01743015,0.01379693,0,
0.02041102,0.05389145,0.04641515,0.1096256,0.1280892,0.09073346,-0.0004142012,-3.254534e-05,0.01695019,0.1143845,0.02653717,0.01706053,0.03206507,0.08420403,0.02774613,1.089362e-05,0.01197096,0.1249938,0.05611978,0.05327703,0.06168802,0.1140668,0.0,0.1787792,0.0414361,0.01834567,0.01422026,0,
0.01870923,0.05132405,0.04394814,0.1051687,0.1199879,0.08403268,-0.0003811938,-2.995174e-05,0.01549467,0.1094473,0.02667944,0.01721385,0.03137537,0.08737379,0.02678509,1.002549e-05,0.01203623,0.1349363,0.0638388,0.05468313,0.05902665,0.1140449,0.0,0.2129727,0.07384667,0.01911069,0.01463654,0,
0.01750667,0.0497946,0.0425034,0.1014822,0.1149839,0.08029894,-0.0003508163,-2.756483e-05,0.01441513,0.1071142,0.02691289,0.01741943,0.03071673,0.08929791,0.02617978,9.226537e-06,0.01198213,0.1455942,0.06955975,0.05556729,0.05633769,0.1138863,0.0,0.2234581,0.08403294,0.02006492,0.01512253,0,
0.01666383,0.04899857,0.0417383,0.09960338,0.1123646,0.07830911,-0.0003228594,-2.536814e-05,0.01356251,0.1055645,0.02697155,0.01752007,0.03006567,0.09004778,0.02562633,8.491256e-06,0.01186214,0.1493746,0.0720945,0.05599964,0.05499906,0.1138567,0.0,0.2287516,0.08947115,0.02070761,0.01544571,0,
0.01602526,0.04856388,0.04136555,0.09829389,0.1097559,0.07710359,-0.0002971302,-2.33465e-05,0.01284405,0.1046259,0.02703828,0.01763165,0.02944291,0.09014547,0.02523071,7.814571e-06,0.01155597,0.1510933,0.07352681,0.056114,0.05408868,0.113369,0.0,0.2313526,0.09228857,0.02134038,0.01582286,0,
0.0154197,0.0481465,0.04103265,0.0972351,0.1069818,0.07656786,-0.0002734514,-2.148597e-05,0.01217477,0.1040179,0.02724101,0.01785696,0.02877287,0.09058204,0.02503169,7.191813e-06,0.01109521,0.1521707,0.07473926,0.05614183,0.05279231,0.1123155,0.0,0.2332203,0.09996937,0.02226052,0.01630371,0,
0.01486331,0.04778958,0.0407697,0.09643703,0.1055501,0.07645589,-0.0002516596,-1.977371e-05,0.01155977,0.1039589,0.02762206,0.01822309,0.02815318,0.09656002,0.02507322,6.618683e-06,0.01063802,0.1557824,0.07981499,0.05631193,0.05131153,0.1113581,0.0,0.2381904,0.1142046,0.02427579,0.01695216,0,
0.01434712,0.04758019,0.04063147,0.09551489,0.1041134,0.07630617,-0.0002316044,-1.81979e-05,0.01099085,0.104078,0.02811593,0.01863751,0.02755998,0.1023966,0.02526611,6.091227e-06,0.01019723,0.162525,0.08321998,0.05625625,0.05003918,0.1106739,0.0,0.2457953,0.1203622,0.02706119,0.01806347,0,
