jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0406,0.0804,0.0815,0.2366,0.2269,0.1061,0.2702,0.3252,0.0509,0.1276,0.0204,0.0216,0.0596,0.0684,0.0719,0.0221,0.0,0.0337,0.0391,0.0678,0.1111,0.0,0.0628,0.0,0.0,0.0246,0.0224,0
0.0401,0.0823,0.0848,0.2362,0.2269,0.0937,0.1683,0.2378,0.0498,0.1262,0.0207,0.0216,0.0651,0.0595,0.0709,0.0265,0.0,0.0341,0.0392,0.0679,0.1124,0.0,0.0624,0.0,0.0,0.0249,0.0225,0
0.0399,0.083,0.0856,0.236,0.2267,0.0915,0.1649,0.2348,0.0493,0.1251,0.0208,0.0216,0.0661,0.0579,0.0703,0.0292,0.0,0.0341,0.0391,0.0675,0.1126,0.0,0.0624,0.0,0.0,0.025,0.0225,0
0.0398,0.0856,0.0886,0.2361,0.2266,0.0908,0.1619,0.2321,0.0489,0.1244,0.021,0.0217,0.0667,0.0569,0.0699,0.0304,0.0,0.034,0.0388,0.066,0.1123,0.0,0.0624,0.0,0.0,0.0251,0.0224,0
0.0398,0.0856,0.0886,0.2361,0.2266,0.0908,0.1619,0.2321,0.0489,0.1244,0.021,0.0217,0.0667,0.0569,0.0699,0.0304,0.0,0.034,0.0388,0.066,0.1123,0.0,0.0624,0.0,0.0,0.0251,0.0224,0
0.039,0.0883,0.0911,0.2357,0.2264,0.0936,0.1594,0.2277,0.0466,0.1234,0.0213,0.0219,0.0672,0.0554,0.0694,0.0312,0.0,0.0337,0.038,0.0625,0.1092,0.0,0.0616,0.0,0.0,0.0253,0.0223,0
0.0383,0.0898,0.0921,0.236,0.2268,0.0965,0.159,0.2263,0.0445,0.1231,0.0216,0.0221,0.067,0.0549,0.0697,0.0309,0.0,0.0333,0.0371,0.0593,0.1037,0.0,0.0611,0.0,0.0,0.0251,0.0221,0
0.0377,0.0914,0.0932,0.2364,0.2275,0.1002,0.1593,0.2254,0.0428,0.1229,0.022,0.0224,0.0668,0.0545,0.0702,0.0296,0.0,0.0329,0.0361,0.0578,0.1006,0.0,0.0596,0.0,0.0,0.025,0.0218,0
0.0371,0.0979,0.0993,0.2369,0.2285,0.1097,0.159,0.2169,0.0418,0.123,0.0224,0.0227,0.0667,0.0541,0.0707,0.0273,0.0,0.0324,0.0347,0.0562,0.0989,0.0,0.058,0.0,0.0,0.0248,0.0216,0
0.0366,0.103,0.104,0.2374,0.2292,0.1181,0.1586,0.212,0.0409,0.1235,0.0228,0.0231,0.0666,0.0538,0.0714,0.0249,0.0,0.0318,0.0335,0.0549,0.0975,0.0,0.0562,0.0,0.0,0.0246,0.0214,0
