jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0109,0.0737,0.0832,0.1197,0.1574,0.098,0.0,0.0,0.0119,0.1471,0.0663,0.0772,0.047,0.2223,0.082,0.0,0.0658,0.2244,0.2628,0.1192,0.1628,0.0508,0.0,0.3448,0.3683,0.1479,0.1727,0
0.0111,0.075,0.0865,0.1202,0.1576,0.1004,0.0,0.0,0.0122,0.1438,0.0686,0.0804,0.0468,0.2082,0.0883,0.0,0.0652,0.214,0.2547,0.1106,0.1525,0.047,0.0,0.3583,0.389,0.151,0.176,0
0.0114,0.078,0.0915,0.1207,0.1577,0.1015,0.0,0.0,0.0125,0.1386,0.0698,0.0821,0.0466,0.1981,0.0917,0.0,0.0648,0.2089,0.2509,0.1061,0.1475,0.0448,0.0,0.3656,0.3994,0.1516,0.1775,0
0.0116,0.0795,0.0938,0.1213,0.158,0.102,0.0,0.0,0.0128,0.1365,0.0704,0.083,0.0465,0.1941,0.0933,0.0,0.0646,0.2064,0.2489,0.1038,0.1457,0.0435,0.0,0.369,0.3981,0.15,0.1767,0
0.0121,0.0823,0.0963,0.1311,0.1681,0.1024,0.0,0.0,0.0131,0.1359,0.0715,0.0843,0.0466,0.1923,0.0943,0.0,0.0647,0.2078,0.2484,0.1048,0.1449,0.0426,0.0,0.3704,0.3885,0.1419,0.1672,0
0.0131,0.0851,0.0993,0.1367,0.1734,0.103,0.0,0.0,0.0137,0.1357,0.0746,0.0873,0.0471,0.1935,0.0954,0.0,0.0646,0.2239,0.2575,0.1092,0.1448,0.0413,0.0,0.371,0.3762,0.1372,0.1625,0
0.0134,0.0856,0.0997,0.1368,0.1734,0.1031,0.0,0.0,0.0139,0.1356,0.0754,0.0879,0.0471,0.1942,0.0956,0.0,0.0643,0.2261,0.2587,0.1103,0.1451,0.0414,0.0,0.371,0.3734,0.1372,0.1631,0
0.0136,0.0859,0.1,0.1332,0.1698,0.1035,0.0,0.0,0.014,0.1355,0.0769,0.0885,0.0471,0.195,0.096,0.0,0.0643,0.2278,0.2593,0.111,0.1451,0.042,0.0,0.3814,0.3735,0.1408,0.1731,0
0.0138,0.0858,0.0999,0.1319,0.1685,0.104,0.0,0.0,0.014,0.1352,0.0783,0.0892,0.047,0.1966,0.0965,0.0,0.0638,0.2293,0.2599,0.1116,0.1447,0.0432,0.0,0.3844,0.3735,0.1443,0.1793,0
0.0138,0.0856,0.0997,0.1309,0.1674,0.1049,0.0,0.0,0.014,0.1351,0.0807,0.0915,0.047,0.2139,0.0988,0.0,0.0629,0.2351,0.2657,0.1154,0.1442,0.044,0.0,0.3859,0.3736,0.1544,0.1922,0
0.0138,0.0854,0.0995,0.1274,0.1614,0.1068,0.0,0.0,0.0139,0.135,0.0835,0.0939,0.0468,0.2213,0.1025,0.0,0.0624,0.2372,0.2676,0.1168,0.143,0.045,0.0,0.3868,0.374,0.1656,0.205,0
0.0137,0.085,0.0991,0.1258,0.1592,0.109,0.0,0.0,0.0139,0.1348,0.0861,0.0966,0.0467,0.2273,0.1056,0.0,0.062,0.2382,0.2684,0.1179,0.1386,0.0457,0.0,0.3872,0.3744,0.1697,0.2097,0
0.0136,0.0846,0.0985,0.1243,0.1567,0.1097,0.0,0.0,0.0138,0.1344,0.088,0.0989,0.0465,0.2301,0.1071,0.0,0.0616,0.2398,0.2698,0.1188,0.1365,0.0463,0.0,0.3872,0.3749,0.1719,0.2121,0
0.0135,0.0841,0.0979,0.122,0.1529,0.1105,0.0,0.0,0.0137,0.1336,0.0891,0.1,0.0461,0.2311,0.1082,0.0,0.061,0.24,0.2687,0.1191,0.1349,0.0468,0.0,0.3871,0.3754,0.1732,0.2132,0
0.0134,0.0838,0.0976,0.1207,0.1512,0.1113,0.0,0.0,0.0136,0.1328,0.0899,0.1008,0.0458,0.2312,0.1095,0.0,0.0605,0.2362,0.2577,0.1191,0.1336,0.0476,0.0,0.387,0.3756,0.1738,0.2134,0
0.0133,0.0835,0.0973,0.1199,0.1503,0.1124,0.0,0.0,0.0135,0.1321,0.0907,0.1014,0.0455,0.2315,0.1114,0.0,0.0601,0.2349,0.2544,0.1192,0.1322,0.049,0.0,0.387,0.3755,0.1744,0.2137,0
0.0133,0.0835,0.0973,0.1194,0.15,0.1139,0.0,0.0,0.0135,0.1315,0.0914,0.1019,0.0453,0.2304,0.1124,0.0,0.0599,0.2334,0.2522,0.1193,0.1313,0.0508,0.0,0.3874,0.3758,0.1745,0.2137,0
0.0134,0.0837,0.0976,0.1191,0.1502,0.1148,0.0,0.0,0.0135,0.1309,0.092,0.1024,0.0452,0.2286,0.1127,0.0,0.0598,0.2329,0.2512,0.1197,0.1308,0.0531,0.0,0.3879,0.3761,0.1742,0.2133,0
0.0135,0.084,0.0979,0.1188,0.1503,0.1153,0.0,0.0,0.0135,0.1302,0.0925,0.1027,0.0451,0.2262,0.1129,0.0,0.0599,0.2325,0.2506,0.12,0.1303,0.0552,0.0,0.3896,0.3766,0.1737,0.2128,0
0.0135,0.0842,0.0982,0.1186,0.1506,0.116,0.0,0.0,0.0135,0.1296,0.093,0.1031,0.045,0.2251,0.113,0.0,0.0599,0.2323,0.2503,0.1205,0.1298,0.0566,0.0,0.3928,0.3777,0.1734,0.2124,0
0.0136,0.0845,0.0986,0.1185,0.1511,0.1167,0.0,0.0,0.0136,0.1291,0.0936,0.1036,0.045,0.2248,0.1132,0.0,0.06,0.2323,0.2502,0.1231,0.1294,0.0578,0.0,0.3941,0.3781,0.1729,0.212,0
0.0136,0.0846,0.0987,0.1184,0.1515,0.1174,0.0,0.0,0.0136,0.1288,0.0947,0.1041,0.045,0.2267,0.1134,0.0,0.0601,0.2325,0.2502,0.126,0.1287,0.0599,0.0,0.395,0.3781,0.1727,0.2118,0
0.0137,0.0848,0.0989,0.1184,0.1519,0.1181,0.0,0.0,0.0136,0.1285,0.0967,0.1048,0.0449,0.2291,0.1139,0.0,0.0599,0.2326,0.25,0.1283,0.127,0.061,0.0,0.3978,0.3784,0.1726,0.2117,0
0.0137,0.0846,0.0987,0.1181,0.1519,0.1187,0.0,0.0,0.0136,0.1283,0.0994,0.107,0.0449,0.2486,0.115,0.0,0.06,0.2331,0.2503,0.1358,0.1247,0.0619,0.0,0.3984,0.3782,0.1742,0.2155,0
0.0136,0.0844,0.0985,0.1177,0.1518,0.1193,0.0,0.0,0.0135,0.1282,0.1016,0.1087,0.0449,0.2543,0.1156,0.0,0.06,0.2337,0.2507,0.1398,0.1234,0.0627,0.0,0.3986,0.3777,0.1751,0.2171,0
0.0135,0.0841,0.0981,0.1171,0.1515,0.1195,0.0,0.0,0.0135,0.1282,0.1028,0.1099,0.045,0.2576,0.116,0.0,0.06,0.239,0.2569,0.1427,0.1225,0.0636,0.0,0.3988,0.3777,0.1784,0.2227,0
0.0134,0.0839,0.0979,0.1167,0.1513,0.1197,0.0,0.0,0.0134,0.1282,0.1043,0.1114,0.045,0.2594,0.1165,0.0,0.0599,0.2408,0.2588,0.1446,0.1217,0.0643,0.0,0.3993,0.3779,0.1799,0.2247,0
0.0133,0.0836,0.0976,0.1159,0.1509,0.1198,0.0,0.0,0.0133,0.1283,0.1051,0.1124,0.0451,0.2605,0.1167,0.0,0.06,0.2481,0.2666,0.1466,0.1212,0.0659,0.0,0.3997,0.3783,0.1857,0.2318,0
0.0132,0.0836,0.0977,0.1153,0.1505,0.1199,0.0,0.0,0.0132,0.1283,0.1058,0.1132,0.0453,0.2607,0.1169,0.0,0.06,0.2502,0.269,0.1475,0.1207,0.0668,0.0,0.4021,0.3839,0.1876,0.2342,0
0.013,0.0832,0.0972,0.114,0.1494,0.1198,0.0,0.0,0.0131,0.1283,0.1065,0.1139,0.0453,0.2613,0.117,0.0,0.0603,0.2516,0.2704,0.148,0.1198,0.0675,0.0,0.4031,0.3856,0.189,0.2357,0
0.0128,0.0829,0.0969,0.1111,0.1476,0.1196,0.0,0.0,0.0129,0.1282,0.1069,0.1145,0.0453,0.2614,0.1172,0.0,0.0624,0.2525,0.2712,0.1484,0.1191,0.0695,0.0,0.4042,0.3869,0.1918,0.2385,0
0.0126,0.0823,0.0957,0.1087,0.145,0.1195,0.0,0.0,0.0128,0.1281,0.1075,0.1158,0.0452,0.2647,0.1175,0.0,0.0634,0.2534,0.2726,0.1489,0.118,0.0704,0.0,0.4048,0.3885,0.1979,0.246,0
