jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.1254,0.2121,0.2238,0.3291,0.3453,0.3191,0.3897,0.4027,0.1029,0.282,0.0136,0.0137,0.0959,0.0259,0.0584,0.0,0.0384,0.0063,0.0067,0.0319,0.2077,0.0,0.0086,0.0,0.0,0.0097,0.0093,0
0.1369,0.221,0.2322,0.3325,0.3464,0.3114,0.3924,0.4047,0.1068,0.2836,0.0133,0.0134,0.0951,0.0258,0.0569,0.0,0.0363,0.0062,0.0066,0.0321,0.2064,0.0,0.0085,0.0,0.0,0.0095,0.0091,0
0.1394,0.2225,0.2337,0.3331,0.3467,0.3028,0.3934,0.4068,0.1081,0.2838,0.0131,0.0132,0.0951,0.0258,0.0564,0.0,0.0358,0.0061,0.0066,0.0323,0.2058,0.0,0.0086,0.0,0.0,0.0094,0.009,0
0.1376,0.2204,0.2313,0.3338,0.3471,0.3002,0.3935,0.4076,0.1084,0.2835,0.013,0.0131,0.095,0.0258,0.0559,0.0,0.0353,0.0061,0.0065,0.0326,0.2001,0.0,0.0088,0.0,0.0,0.0093,0.0089,0
0.1372,0.22,0.2307,0.3338,0.347,0.2989,0.3864,0.4048,0.1088,0.2831,0.0129,0.013,0.095,0.0259,0.0555,0.0,0.0353,0.0061,0.0065,0.0328,0.1982,0.0,0.0091,0.0,0.0,0.0092,0.0088,0
0.1367,0.2198,0.2305,0.3327,0.3457,0.2984,0.3738,0.3886,0.1087,0.2826,0.0129,0.013,0.0949,0.0261,0.0554,0.0,0.0353,0.0061,0.0065,0.033,0.1895,0.0,0.0091,0.0,0.0,0.0091,0.0087,0
0.1339,0.2192,0.23,0.3278,0.3374,0.3091,0.3682,0.3794,0.1082,0.282,0.013,0.0131,0.0947,0.0264,0.0553,0.0,0.0353,0.0061,0.0065,0.0332,0.1831,0.0,0.0089,0.0,0.0,0.009,0.0086,0
0.1317,0.2186,0.2295,0.3167,0.327,0.3119,0.3559,0.359,0.1077,0.2814,0.0131,0.0132,0.0946,0.0268,0.0555,0.0,0.0356,0.0062,0.0066,0.0334,0.1801,0.0,0.0084,0.0,0.0,0.0091,0.0087,0
0.1226,0.214,0.2254,0.3104,0.3197,0.3176,0.3299,0.3357,0.1044,0.28,0.0133,0.0133,0.0942,0.0275,0.0558,0.0,0.0361,0.0063,0.0066,0.0336,0.1685,0.0,0.0079,0.0,0.0,0.0091,0.0087,0
0.1025,0.1825,0.199,0.2842,0.2923,0.3788,0.2953,0.2862,0.0935,0.2687,0.0137,0.0137,0.0835,0.0308,0.0562,0.0,0.0367,0.0064,0.0067,0.0336,0.1118,0.0004,0.0073,0.0,0.0,0.0092,0.0087,0
0.0875,0.1705,0.1848,0.2762,0.2834,0.3949,0.2841,0.2718,0.0834,0.2635,0.0141,0.014,0.0772,0.0336,0.0566,0.0,0.0373,0.0065,0.0068,0.0336,0.0964,0.0007,0.0068,0.0,0.0,0.0093,0.0088,0
