jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0462,0.0909,0.1043,0.2579,0.2542,0.2976,0.2519,0.27,0.0406,0.1664,0.0428,0.0432,0.0344,0.0809,0.1439,0.0,0.0129,0.0124,0.0127,0.0175,0.0418,0.0,0.0235,0.0,0.0,0.013,0.0117,0
0.0463,0.091,0.1043,0.2575,0.254,0.2987,0.2517,0.2697,0.0408,0.1666,0.0428,0.0432,0.0346,0.0809,0.1442,0.0,0.0134,0.0124,0.0127,0.0176,0.042,0.0,0.0233,0.0,0.0,0.013,0.0117,0
0.0466,0.0907,0.104,0.2556,0.2519,0.3014,0.2572,0.2731,0.0411,0.167,0.043,0.0433,0.035,0.0812,0.1444,0.0,0.0134,0.0124,0.0127,0.0177,0.0423,0.0,0.0231,0.0,0.0,0.0131,0.0119,0
0.0466,0.0903,0.1035,0.2516,0.2485,0.3279,0.2682,0.2896,0.0414,0.1668,0.043,0.0434,0.0351,0.0812,0.1436,0.0,0.0135,0.0124,0.0127,0.0179,0.0423,0.0,0.0229,0.0,0.0,0.0132,0.0119,0
0.0469,0.09,0.1031,0.2501,0.2471,0.335,0.272,0.2945,0.0417,0.167,0.043,0.0434,0.0354,0.0816,0.143,0.0,0.0133,0.0124,0.0127,0.0183,0.0426,0.0,0.0229,0.0,0.0,0.0134,0.0121,0
0.0481,0.0901,0.1031,0.2499,0.2469,0.2886,0.2764,0.2971,0.0422,0.1707,0.0433,0.0437,0.0368,0.0819,0.1485,0.0,0.0131,0.0125,0.0128,0.0187,0.0432,0.0,0.0227,0.0,0.0,0.0136,0.0123,0
0.0487,0.0901,0.103,0.25,0.2469,0.2848,0.2774,0.2954,0.0425,0.1725,0.0438,0.0441,0.0376,0.0822,0.1516,0.0,0.0129,0.0126,0.0128,0.0191,0.0438,0.0,0.0226,0.0,0.0,0.0139,0.0126,0
0.0494,0.0902,0.103,0.2518,0.2492,0.2808,0.2777,0.2914,0.0429,0.1743,0.0442,0.0445,0.0385,0.0827,0.1567,0.0,0.0128,0.0127,0.013,0.0196,0.0444,0.0,0.0223,0.0,0.0,0.0141,0.0128,0
0.0494,0.0897,0.1023,0.252,0.2496,0.2813,0.2775,0.29,0.043,0.1749,0.0446,0.0448,0.0389,0.0834,0.1584,0.0,0.0127,0.0129,0.0131,0.0199,0.0448,0.0,0.0221,0.0,0.0,0.0144,0.0131,0
0.0494,0.0889,0.1011,0.2511,0.2482,0.328,0.2771,0.2894,0.043,0.175,0.0445,0.0448,0.0389,0.0841,0.1527,0.0,0.0124,0.0129,0.0131,0.0202,0.0451,0.0,0.0218,0.0,0.0,0.0145,0.0133,0
0.0493,0.0882,0.1,0.2501,0.2472,0.3359,0.2772,0.2901,0.043,0.1749,0.0445,0.0448,0.0389,0.0864,0.1511,0.0,0.0123,0.0129,0.0132,0.0205,0.0452,0.0,0.0214,0.0,0.0,0.0148,0.0135,0
0.0492,0.0871,0.0984,0.2494,0.2464,0.3383,0.2771,0.2911,0.0431,0.1748,0.0443,0.0446,0.0386,0.0887,0.1474,0.0,0.012,0.0131,0.0133,0.0208,0.0454,0.0,0.0211,0.0,0.0,0.015,0.0137,0
0.0494,0.0864,0.0975,0.2497,0.2466,0.3343,0.2768,0.2916,0.0434,0.1752,0.0441,0.0444,0.0385,0.0914,0.146,0.0,0.0119,0.0132,0.0135,0.0211,0.0457,0.0,0.0209,0.0,0.0,0.0152,0.0139,0
0.0497,0.0858,0.0968,0.2501,0.2471,0.3297,0.2769,0.2932,0.0437,0.1757,0.0436,0.044,0.0384,0.0925,0.1451,0.0,0.0116,0.0133,0.0136,0.0215,0.046,0.0,0.0207,0.0,0.0,0.0153,0.0141,0
0.0497,0.0853,0.0962,0.2507,0.2477,0.3272,0.2769,0.294,0.0438,0.1762,0.0434,0.0438,0.0384,0.0955,0.145,0.0,0.0116,0.0134,0.0138,0.0219,0.0462,0.0,0.0206,0.0,0.0,0.0155,0.0143,0
0.0498,0.0849,0.0958,0.2524,0.2501,0.3158,0.2778,0.2958,0.0441,0.1765,0.0432,0.0436,0.0383,0.0967,0.1452,0.0,0.0116,0.0136,0.014,0.0222,0.0465,0.0,0.0203,0.0,0.0,0.0157,0.0144,0
0.0498,0.0844,0.0953,0.2546,0.2528,0.3125,0.2787,0.2979,0.0443,0.1769,0.0429,0.0434,0.0382,0.0976,0.1453,0.0,0.0118,0.0137,0.0141,0.0224,0.0468,0.0,0.02,0.0,0.0,0.0158,0.0146,0
0.0497,0.0839,0.0947,0.2555,0.2538,0.3111,0.2793,0.2992,0.0444,0.177,0.0425,0.0431,0.038,0.0984,0.1451,0.0,0.0119,0.0137,0.0142,0.0227,0.0468,0.0,0.0198,0.0,0.0,0.0158,0.0146,0
0.0493,0.0832,0.0941,0.2555,0.2539,0.3188,0.2742,0.2951,0.0441,0.1768,0.0422,0.0427,0.0376,0.0989,0.1448,0.0,0.0121,0.0137,0.0142,0.0227,0.0467,0.0,0.0194,0.0,0.0,0.0159,0.0147,0
0.0484,0.0827,0.0937,0.2536,0.2485,0.3358,0.2578,0.285,0.0437,0.1764,0.0418,0.0424,0.037,0.0988,0.1442,0.0,0.0122,0.0136,0.0141,0.0224,0.0464,0.0,0.0194,0.0,0.0,0.0158,0.0146,0
0.0478,0.0821,0.0931,0.2532,0.247,0.3407,0.2533,0.282,0.0434,0.1761,0.0413,0.0419,0.0364,0.0988,0.1425,0.0,0.0123,0.0135,0.0141,0.0223,0.0462,0.0,0.0194,0.0,0.0,0.0157,0.0145,0
0.0473,0.0816,0.0925,0.2526,0.2459,0.3433,0.2512,0.2805,0.0431,0.1758,0.0408,0.0414,0.0358,0.0992,0.1415,0.0,0.0124,0.0135,0.0141,0.0222,0.0461,0.0,0.0193,0.0,0.0,0.0157,0.0145,0
0.0458,0.0811,0.0919,0.2518,0.2448,0.3481,0.2473,0.2702,0.0426,0.1754,0.0404,0.0411,0.0352,0.0998,0.1409,0.0,0.0129,0.0135,0.014,0.0219,0.0457,0.0,0.0191,0.0,0.0,0.0157,0.0144,0
0.0449,0.0807,0.0916,0.2511,0.2439,0.3501,0.2455,0.267,0.0421,0.175,0.0401,0.0408,0.0346,0.1001,0.1403,0.0,0.0132,0.0134,0.014,0.0217,0.0452,0.0,0.0192,0.0,0.0,0.0156,0.0143,0
0.0442,0.0802,0.091,0.2506,0.2433,0.3507,0.2447,0.2655,0.0417,0.1747,0.0399,0.0405,0.034,0.1016,0.1399,0.0,0.0135,0.0134,0.014,0.0215,0.0449,0.0,0.0191,0.0,0.0,0.0156,0.0143,0
0.0438,0.0799,0.0907,0.2506,0.2432,0.3448,0.2457,0.2702,0.0414,0.1744,0.0395,0.0401,0.0336,0.102,0.1393,0.0,0.0135,0.0134,0.014,0.0214,0.0448,0.0,0.0193,0.0,0.0,0.0156,0.0143,0
0.0439,0.0797,0.0905,0.2509,0.2438,0.3269,0.2661,0.2843,0.0415,0.1743,0.0391,0.0397,0.0334,0.1022,0.1392,0.0,0.0137,0.0134,0.014,0.0214,0.045,0.0,0.0193,0.0,0.0,0.0155,0.0142,0
0.0439,0.0794,0.0901,0.2513,0.2441,0.3229,0.2719,0.293,0.0416,0.1743,0.0386,0.0393,0.0331,0.1025,0.1388,0.0,0.0136,0.0135,0.0141,0.0216,0.0453,0.0,0.0194,0.0,0.0,0.0155,0.0142,0
0.0439,0.0789,0.0896,0.2516,0.2446,0.3258,0.275,0.2966,0.0417,0.1743,0.0382,0.0389,0.0329,0.1029,0.1383,0.0,0.0135,0.0135,0.0141,0.0217,0.0456,0.0,0.0196,0.0,0.0,0.0156,0.0143,0
0.044,0.0786,0.0892,0.2522,0.2453,0.3259,0.2767,0.2987,0.0418,0.1742,0.0378,0.0385,0.0327,0.1034,0.1381,0.0,0.0135,0.0136,0.0142,0.0218,0.0459,0.0,0.0198,0.0,0.0,0.0155,0.0142,0
0.0437,0.0781,0.0887,0.2521,0.2451,0.3334,0.2705,0.2984,0.0416,0.1741,0.0374,0.0381,0.0324,0.1039,0.1378,0.0,0.0134,0.0136,0.0143,0.0218,0.0459,0.0,0.0202,0.0,0.0,0.0155,0.0142,0
0.0436,0.0779,0.0884,0.252,0.245,0.3394,0.269,0.2968,0.0415,0.1741,0.037,0.0378,0.0321,0.1043,0.1375,0.0,0.0134,0.0136,0.0143,0.0218,0.0459,0.0,0.0201,0.0,0.0,0.0155,0.0142,0
0.0435,0.0777,0.0882,0.2521,0.2452,0.3357,0.2682,0.296,0.0415,0.1739,0.0367,0.0374,0.0319,0.1046,0.1371,0.0,0.0134,0.0137,0.0143,0.0219,0.0461,0.0,0.0201,0.0,0.0,0.0155,0.0142,0
0.0435,0.0776,0.0881,0.2521,0.2453,0.3335,0.2681,0.2957,0.0414,0.1738,0.0364,0.0371,0.0318,0.1047,0.137,0.0,0.0134,0.0137,0.0143,0.022,0.0462,0.0,0.0201,0.0,0.0,0.0155,0.0142,0
0.0434,0.0775,0.0879,0.2523,0.2454,0.3305,0.2681,0.2955,0.0413,0.1736,0.0362,0.0369,0.0316,0.1049,0.1368,0.0,0.0132,0.0138,0.0144,0.022,0.0463,0.0,0.0203,0.0,0.0,0.0155,0.0142,0
0.0432,0.0776,0.0881,0.2525,0.2455,0.3296,0.2677,0.2914,0.0412,0.1733,0.0361,0.0368,0.0315,0.1047,0.1367,0.0,0.0129,0.0137,0.0144,0.0219,0.0462,0.0,0.0204,0.0,0.0,0.0155,0.0141,0
0.0428,0.0776,0.0881,0.2522,0.245,0.3297,0.2573,0.2833,0.0408,0.1727,0.036,0.0367,0.0312,0.1043,0.1362,0.0,0.0128,0.0137,0.0143,0.0216,0.0458,0.0,0.0206,0.0,0.0,0.0154,0.014,0
0.0424,0.0777,0.0882,0.2524,0.2451,0.329,0.2619,0.2836,0.0405,0.1721,0.0361,0.0368,0.0311,0.1038,0.1362,0.0,0.0128,0.0136,0.0142,0.0214,0.0455,0.0,0.0207,0.0,0.0,0.0153,0.0139,0
0.042,0.0779,0.0885,0.2522,0.245,0.329,0.261,0.2817,0.0401,0.1708,0.0361,0.0368,0.0309,0.1024,0.1359,0.0,0.013,0.0135,0.0141,0.0211,0.0451,0.0,0.0208,0.0,0.0,0.0151,0.0138,0
0.0414,0.0781,0.0888,0.2511,0.2445,0.3294,0.258,0.2801,0.0397,0.1687,0.0361,0.0369,0.0307,0.0989,0.1354,0.0,0.0132,0.0134,0.014,0.0208,0.0446,0.0,0.0211,0.0,0.0,0.015,0.0136,0
0.0408,0.0783,0.0891,0.2504,0.244,0.3284,0.257,0.2792,0.0392,0.1675,0.0363,0.037,0.0305,0.0974,0.1354,0.0,0.0135,0.0133,0.0138,0.0205,0.0441,0.0,0.0213,0.0,0.0,0.0148,0.0134,0
