jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.04509787,0.05839428,0.06607158,0.1436606,0.1485484,0.3618982,0.1210828,0.1792521,0.04707026,0.1184164,0.04611009,0.05242492,0.02660831,0.1509312,0.1554605,0.0006949976,0.02199493,0.01924701,0.02142917,0.01711032,0.03344559,0,0.02549366,0,0,0.02635271,0.02622362,0
0.04466652,0.05815876,0.0657891,0.1437221,0.1485865,0.3623562,0.1210767,0.1788594,0.04681823,0.1180554,0.0460218,0.05240313,0.02653368,0.1513664,0.1558223,0.0006396119,0.02236317,0.01932378,0.02155637,0.01723838,0.03343257,0,0.02516473,0,0,0.0265788,0.02645126,0
0.04440213,0.05805014,0.06563687,0.1440338,0.1488848,0.3629654,0.1202122,0.1745368,0.04662196,0.1177568,0.04598883,0.05241694,0.02647522,0.1511638,0.1560343,0.0005886399,0.02284582,0.01939407,0.02166161,0.01727242,0.03342004,0,0.0247692,0,0,0.02669822,0.02656836,0
0.04403222,0.05780831,0.065354,0.1440539,0.1489362,0.3699005,0.1193374,0.1725534,0.0464102,0.1174169,0.04591406,0.05241583,0.02637288,0.1510043,0.1560867,0.0005417301,0.02343482,0.01945071,0.02176184,0.01727841,0.03340477,0,0.02434407,0,0,0.02683975,0.02672752,0
0.04364817,0.05748023,0.06497087,0.1439846,0.1488827,0.3725403,0.1187599,0.1715699,0.0462607,0.1170968,0.04589493,0.05250721,0.02630354,0.151188,0.1564869,0.0004985585,0.02422107,0.01953496,0.02191051,0.01729265,0.03338218,0,0.02399485,0,0,0.02701335,0.02692058,0
0.04322962,0.05695993,0.06436987,0.1435713,0.148525,0.3734154,0.1215612,0.1728249,0.04600925,0.1165466,0.04584524,0.05251326,0.02615681,0.1540407,0.1569047,0.0004588274,0.02463574,0.01969988,0.02213302,0.01741421,0.03329108,0,0.02349288,0,0,0.02729131,0.02722251,0
0.04282241,0.05641467,0.06372375,0.1431358,0.1481444,0.3723944,0.1282892,0.1818067,0.04581963,0.1159428,0.04565266,0.05235567,0.02599797,0.1574005,0.1567319,0.0004222625,0.02479874,0.0199458,0.02245875,0.01767317,0.03332598,0,0.02309057,0,0,0.02766435,0.02761712,0
0.04181453,0.05551398,0.06228825,0.1425681,0.1475718,0.3724561,0.1309862,0.1860058,0.04549029,0.1153829,0.04535058,0.05212991,0.02581312,0.165979,0.1564028,0.0003886116,0.02527038,0.02019434,0.02282618,0.0179253,0.0334356,0,0.02275493,0,0,0.0281046,0.028083,0
0.04107529,0.05490648,0.06150216,0.1420802,0.1470411,0.3736453,0.1319066,0.1876386,0.04518271,0.1148994,0.04509575,0.05199618,0.02565998,0.1706415,0.1561759,0.0003576424,0.0258772,0.02041898,0.02318886,0.0181582,0.03350163,0,0.02256346,0,0,0.02849868,0.02851163,0
0.03990202,0.05436446,0.06085183,0.1414261,0.1458774,0.3741762,0.1320327,0.1885936,0.04469809,0.1143244,0.04485235,0.05191435,0.02547408,0.173025,0.1562731,0.0003291412,0.02733407,0.02060922,0.02353966,0.01834601,0.03352058,0,0.02261709,0,0,0.02886179,0.02889622,0
0.03834636,0.05370745,0.0601041,0.1404756,0.1445238,0.3742111,0.1326972,0.1918463,0.0441243,0.1136714,0.04453968,0.05172683,0.02525616,0.1809173,0.1565347,0.0003029113,0.02825577,0.02085209,0.02394665,0.01859738,0.03353144,0,0.02265311,0,0,0.02923613,0.02928206,0
0.03662149,0.05301475,0.05935225,0.1383645,0.1424038,0.3733532,0.1331601,0.1929575,0.04319675,0.1129502,0.04434717,0.05164186,0.02500649,0.1869243,0.1570145,0.0002787717,0.02901144,0.02112273,0.02436105,0.01882385,0.03342702,0,0.02263084,0,0,0.0295746,0.02964641,0
0.03446611,0.0507102,0.05630057,0.1350359,0.1393121,0.3706613,0.1343332,0.1957044,0.04203654,0.1117523,0.04413354,0.05154271,0.02470327,0.2199264,0.157987,0.0002565558,0.02964414,0.02157572,0.02500175,0.01916607,0.0333066,0,0.02276792,0,0,0.03005706,0.03017349,0
0.03206729,0.0490621,0.05419751,0.1325135,0.1367991,0.3677787,0.1348065,0.1969396,0.03998154,0.1106359,0.04392034,0.05144969,0.02435916,0.2292527,0.1604307,0.0002361104,0.03032648,0.02201929,0.02563665,0.01950605,0.03310064,0,0.02296825,0,0,0.03058873,0.03074545,0
0.0302815,0.04668122,0.05142144,0.129449,0.1343953,0.3664428,0.1349895,0.197837,0.03845428,0.1097806,0.04392065,0.0516619,0.02405677,0.2458363,0.1712531,0.0002172942,0.03106253,0.02256259,0.02674504,0.01988453,0.03278502,0,0.02318117,0,0,0.03122782,0.0316394,0
0.02911859,0.04526943,0.04985755,0.1279277,0.1330911,0.36383,0.1351444,0.1986734,0.03730775,0.108953,0.0440687,0.05206232,0.02380447,0.2513226,0.1811472,0.0001999776,0.0318109,0.02311543,0.02771219,0.02023254,0.0324689,0,0.0234902,0,0,0.03180197,0.0323428,0
0.0282156,0.0442754,0.04879922,0.1268855,0.1322584,0.3630305,0.1345111,0.19867,0.03649335,0.1082707,0.04430669,0.05254659,0.02358988,0.2543252,0.1870714,0.000184041,0.0328515,0.02371868,0.02869902,0.02059445,0.03220188,0,0.02380125,0,0,0.03234594,0.03302212,0
0.02745346,0.04346627,0.04797331,0.1261275,0.131658,0.3606369,0.1332645,0.1982673,0.03580444,0.1078446,0.04465616,0.05314837,0.02346204,0.2561511,0.199017,0.0001693745,0.03384941,0.02439608,0.0300657,0.02097619,0.03197393,0,0.02413581,0,0,0.03291818,0.03372743,0
0.02669437,0.04267668,0.04718217,0.1251247,0.1309869,0.3566088,0.1330278,0.1984071,0.03516138,0.1075093,0.04500965,0.05374551,0.02335939,0.2639014,0.2065625,0.0001558767,0.0346167,0.02546564,0.03204582,0.02154058,0.03182452,0,0.02442242,0,0,0.03423705,0.03605796,0
0.02574849,0.04172456,0.04623787,0.1231832,0.129833,0.3504979,0.1341023,0.1994047,0.03448024,0.1070701,0.04529246,0.05421331,0.02324042,0.2725041,0.2097725,0.0001434546,0.03512643,0.02645892,0.03351615,0.0222248,0.03172021,0,0.0246408,0,0,0.03576705,0.03839419,0
0.02501362,0.04091541,0.04542986,0.1221525,0.129083,0.3425245,0.143501,0.2104822,0.03392127,0.1066604,0.04558274,0.05468383,0.02317218,0.276766,0.2125247,0.0001320224,0.03542877,0.02747609,0.03492577,0.02318082,0.03167267,0,0.0249356,0,0,0.03736191,0.04051226,0
0.02432532,0.04017571,0.04467963,0.1211237,0.1282476,0.3399697,0.1464307,0.2138285,0.03336474,0.1061672,0.04578011,0.05505206,0.02304932,0.2803916,0.2139339,0.0001215012,0.03565791,0.02826761,0.03589333,0.02419635,0.03156054,0,0.0251837,0,0,0.03874136,0.04214875,0
0.02368731,0.03949816,0.04397934,0.1194798,0.1263443,0.3384414,0.1495622,0.218337,0.03285113,0.1057124,0.0459503,0.05539379,0.02293991,0.2834131,0.2149594,0.0001118186,0.03570757,0.02900633,0.03674857,0.02561714,0.03145342,0,0.02552369,0,0,0.04060688,0.04395232,0
0.02311931,0.03889471,0.04335206,0.1183147,0.1251459,0.3377718,0.1511651,0.2202222,0.03235962,0.1053307,0.04609375,0.05567431,0.02280623,0.2855237,0.2157732,0.0001029075,0.03580253,0.02967083,0.03747416,0.02654264,0.03128748,0,0.02568603,0,0,0.04166324,0.0450152,0
0.02311931,0.03889471,0.04335206,0.1183147,0.1251459,0.3377718,0.1511651,0.2202222,0.03235962,0.1053307,0.04609375,0.05567431,0.02280623,0.2855237,0.2157732,0.0001029075,0.03580253,0.02967083,0.03747416,0.02654264,0.03128748,0,0.02568603,0,0,0.04166324,0.0450152,0
0.02567765,0.03445312,0.03848105,0.1527495,0.1459607,0.3118897,0.2005474,0.2633319,0.04075395,0.1200465,0.02264844,0.02797968,0.03988366,0.1704322,0.1609898,0.0005370649,0.00415628,0.02342321,0.03794601,0.03434565,0.04162952,0,0.05512864,0,0,0.02508618,0.02579028,0
0.1277322,0.08925804,0.09531283,0.2890082,0.2746149,0.2587691,0.2878541,0.3833637,0.1321716,0.1382106,0.02261369,0.02696156,0.0440055,0.06491913,0.08457415,0.0008948204,0.004412983,0.02322957,0.03584317,0.03049997,0.1171813,0,0.06172815,0,0,0.02404155,0.0241898,0
0.1512698,0.101147,0.10734,0.3194233,0.3039639,0.2505702,0.3102362,0.4126822,0.1547013,0.1427283,0.02132508,0.02452431,0.04775428,0.03877158,0.06735268,0.001191356,0.00437599,0.02266138,0.03167083,0.02867185,0.1347395,0,0.06375802,0,0,0.02226158,0.02223798,0
0.1649942,0.1091949,0.1146309,0.3354411,0.3217286,0.2550457,0.3218207,0.4250358,0.1688765,0.1482157,0.02021271,0.02266803,0.05341512,0.02670973,0.05861701,0.00123806,0.004195693,0.02195269,0.02837201,0.0287956,0.1439664,0,0.06471316,0,0,0.02073821,0.02066251,0
0.1708341,0.1131429,0.1183007,0.3438525,0.3327488,0.2716688,0.3276218,0.4247018,0.1752041,0.150819,0.01911188,0.02103646,0.05549184,0.02354322,0.05380372,0.001289506,0.003951484,0.02101426,0.02557886,0.02944576,0.1482898,0,0.06485829,0,0,0.01949698,0.01943761,0
0.1741688,0.1188652,0.1224379,0.3526631,0.3593565,0.2814475,0.3269544,0.4039766,0.1795625,0.1584088,0.01823587,0.01982483,0.05688307,0.0220787,0.051365,0.001247079,0.00419252,0.02010762,0.02339779,0.0298501,0.1505232,0,0.06317315,0,0,0.01856804,0.01851887,0
