jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.2733241,0.8917298,0.9120729,0.1699429,0.1620469,0.009434783,0,0,0.006878546,0.08020806,0.2519715,0.2613286,0.2501294,0.001196919,0.09929478,0.03659764,0.0,0.0748859,0.07070145,0.006011443,0.01751611,0.0,0.02659734,0.9598524,0.9525758,0.01717954,0.01237351,0
0.2903669,0.8913553,0.9116047,0.1851917,0.1809289,0.009655148,0,0,0.00704403,0.08432463,0.2486827,0.2558015,0.2506792,0.001198494,0.09707309,0.03661183,0.0,0.0749892,0.07067247,0.00611138,0.01757784,0.0,0.02582774,0.9596142,0.9521319,0.017182,0.01243027,0
0.2981451,0.8908869,0.911019,0.1898852,0.1863201,0.009935146,0,0,0.007254221,0.08765768,0.2472501,0.2525694,0.2508726,0.001203736,0.09611926,0.0364127,0.0,0.0750013,0.07033652,0.006214208,0.01767623,0.0,0.02253782,0.9591873,0.9507065,0.01718025,0.01247926,0
0.2995496,0.8904921,0.9106234,0.1921237,0.1889891,0.01008898,0,0,0.00734395,0.08911205,0.2475494,0.2523508,0.2494034,0.00119902,0.09575246,0.03608409,0.0,0.07495521,0.06995985,0.006238526,0.0177045,0.0,0.02112056,0.9588001,0.949931,0.01712104,0.01250614,0
0.2999192,0.8900653,0.910248,0.192999,0.1899867,0.01015224,0,0,0.007395143,0.08977088,0.2475617,0.2521314,0.247413,0.001181275,0.09569501,0.03582899,0.0,0.07457121,0.06907831,0.006205118,0.01770499,0.0,0.02013364,0.9584259,0.9492878,0.01698063,0.01245325,0
0.2902742,0.890123,0.9103665,0.1928088,0.1891005,0.01012783,0,0,0.007353384,0.08990092,0.2508797,0.2566704,0.2427354,0.001149252,0.09592777,0.03562022,0.0,0.0733868,0.06597599,0.006104804,0.01762668,0.0,0.01958726,0.9581574,0.9488369,0.01671822,0.01230403,0
0.2825271,0.8902701,0.9106457,0.1798393,0.1739181,0.01003273,0,0,0.007272222,0.08841185,0.251623,0.2579314,0.2381117,0.001111464,0.09635288,0.03555391,0.0,0.07241757,0.06470602,0.005971209,0.01755138,0.0,0.01929939,0.9581456,0.9487835,0.01646596,0.01213957,0
0.2794131,0.8904939,0.9110085,0.1754702,0.169256,0.009908613,0,0,0.007180616,0.08710482,0.2521414,0.2588463,0.2359785,0.001072738,0.09679278,0.03540047,0.0,0.07161836,0.06378204,0.005831589,0.01746663,0.0,0.01898823,0.9582232,0.9488527,0.01622295,0.01197563,0
0.2768039,0.8906931,0.911377,0.1700596,0.1642666,0.009763994,0,0,0.007087436,0.08534174,0.2521413,0.2593124,0.2339847,0.00103233,0.09723496,0.03524318,0.0,0.07031971,0.06300886,0.005685555,0.01737481,0.0,0.01879613,0.9583821,0.9490588,0.0159837,0.01180047,0
0.2748812,0.8911397,0.9118839,0.1680054,0.1622617,0.009646929,0,0,0.006999334,0.08451422,0.2522201,0.2596325,0.2331668,0.0009961562,0.09763294,0.03498512,0.0,0.06951474,0.06233864,0.005563085,0.0173046,0.0,0.01847921,0.9584364,0.9491203,0.01578695,0.01165812,0
0.2677692,0.8930654,0.9138649,0.1665258,0.1608783,0.009508172,0,0,0.006878923,0.08355485,0.2583266,0.2776555,0.2316611,0.0009584351,0.1043218,0.03484994,0.0,0.06872695,0.06186289,0.005406972,0.01709433,0.0,0.01878126,0.9586737,0.9495087,0.01558941,0.01151437,0
0.2529739,0.8951802,0.9160716,0.1655218,0.1601355,0.009405374,0,0,0.006734306,0.08304465,0.2788846,0.3047476,0.2214437,0.0009235962,0.1135424,0.03462807,0.0,0.06785113,0.06137257,0.005235502,0.01678654,0.0,0.02018991,0.9588453,0.9498962,0.01541752,0.01139904,0
0.248151,0.896329,0.9172289,0.1628589,0.1587045,0.009301762,0,0,0.006603646,0.08231493,0.2847117,0.3126839,0.2170468,0.0008920088,0.1169638,0.03438842,0.0,0.06727684,0.06108923,0.005075532,0.01648278,0.0,0.02100416,0.9590669,0.9503175,0.01528152,0.01130357,0
0.2405822,0.8972515,0.9181255,0.1619645,0.158235,0.009238059,0,0,0.006468949,0.0819502,0.2877947,0.3166917,0.2148074,0.0008662457,0.118994,0.03418608,0.0,0.06663688,0.06076922,0.004928068,0.01614347,0.0,0.02181656,0.9592319,0.9506949,0.01517695,0.01122917,0
0.2377917,0.8978899,0.9187091,0.1614443,0.1578718,0.009173044,0,0,0.006352415,0.08151505,0.284542,0.302952,0.2137661,0.0008441489,0.1199746,0.03414644,0.0,0.06622384,0.06062976,0.004807884,0.01587149,0.0,0.02229984,0.959385,0.9510055,0.0151024,0.01116705,0
0.2362317,0.8983566,0.919107,0.1611827,0.1576621,0.009134237,0,0,0.006247003,0.08124164,0.2786354,0.2955604,0.2131308,0.0008259393,0.1201563,0.03412443,0.0,0.06572139,0.06042159,0.004702793,0.01561817,0.0,0.02255759,0.9595235,0.9512786,0.01503662,0.01110802,0
0.2352203,0.8986413,0.919332,0.1608849,0.1572984,0.009079524,0,0,0.006141341,0.08086815,0.2767398,0.2926636,0.2127227,0.0008111322,0.1203278,0.03421797,0.0,0.06552735,0.06051491,0.004613578,0.0154149,0.0,0.02280634,0.9597149,0.9515934,0.015025,0.01108312,0
0.2345081,0.8985676,0.9192376,0.1606466,0.1568833,0.00901753,0,0,0.006050123,0.08037032,0.2720172,0.2870367,0.2125223,0.0007970264,0.1201049,0.03436871,0.0,0.06526358,0.06055206,0.004540064,0.01526155,0.0,0.02287034,0.9598652,0.9518175,0.01501526,0.01104786,0
0.2341876,0.898375,0.9190415,0.1603715,0.1563435,0.008951379,0,0,0.005965413,0.07986245,0.2696155,0.2840899,0.2123077,0.0007812795,0.1199454,0.03460819,0.0,0.06492295,0.06046873,0.004460443,0.01513037,0.0,0.02293802,0.9600077,0.9520183,0.01498516,0.01098693,0
0.2337909,0.8977994,0.9185183,0.1602907,0.1559946,0.008939808,0,0,0.005897192,0.07965448,0.2659207,0.2795625,0.2118006,0.0007703708,0.1194733,0.03468221,0.0,0.0644735,0.06018873,0.004391884,0.01501295,0.0,0.02285384,0.9600131,0.9520435,0.01497037,0.01093417,0
0.2333055,0.896491,0.917606,0.1601095,0.1555105,0.008908716,0,0,0.00582636,0.07933293,0.2642662,0.2775113,0.211235,0.0007602098,0.1191057,0.03479658,0.0,0.06426343,0.06012166,0.004325539,0.01492955,0.0,0.02286486,0.9600985,0.9521455,0.01496257,0.01088276,0
0.2313928,0.8941161,0.9162443,0.1599161,0.1549666,0.008870557,0,0,0.005760426,0.07923773,0.2619903,0.2750544,0.2110075,0.0007528673,0.1167446,0.03491115,0.0,0.06414793,0.06021992,0.004271431,0.01486145,0.0,0.02279954,0.9602343,0.952303,0.01498911,0.01086862,0
0.2300341,0.8930357,0.9154918,0.1596677,0.1543634,0.008831554,0,0,0.005692914,0.07920887,0.2602245,0.2736643,0.2107699,0.000745206,0.1138749,0.0350355,0.0,0.06387967,0.0601904,0.00421202,0.01478827,0.0,0.02280533,0.9603744,0.952481,0.01499476,0.01084698,0
0.2260416,0.8923763,0.9149896,0.159519,0.1537855,0.008793837,0,0,0.005615567,0.07923798,0.2593265,0.2729139,0.2106602,0.0007360441,0.1126144,0.03520186,0.0,0.0635197,0.06004566,0.004150487,0.0146998,0.0,0.02296357,0.960516,0.9526548,0.01498743,0.01080423,0
0.2229416,0.8920793,0.9147797,0.1595078,0.1535811,0.008759085,0,0,0.005535515,0.07926617,0.2589225,0.2729373,0.2102315,0.0007257676,0.1121959,0.03533696,0.0,0.06318017,0.05998705,0.00408166,0.01459394,0.0,0.02328452,0.9605978,0.9528335,0.01496995,0.01076642,0
0.2212265,0.8916807,0.9144564,0.1594353,0.1533481,0.008738003,0,0,0.005471134,0.07923161,0.25872,0.2731034,0.2097619,0.0007183158,0.1122936,0.03549842,0.0,0.06302585,0.06007572,0.004026143,0.01453249,0.0,0.0237075,0.9606301,0.9529592,0.01499014,0.01075419,0
0.2184852,0.8915292,0.9143531,0.1600686,0.1546232,0.008779995,0,0,0.005419433,0.07981884,0.2586743,0.2744626,0.2093862,0.0007120063,0.1126468,0.03556687,0.0,0.06253726,0.05986345,0.003972394,0.01442435,0.0,0.02423227,0.9604322,0.9528978,0.01496699,0.01072868,0
0.2093801,0.8894929,0.9137712,0.160397,0.1551039,0.008904385,0,0,0.00537844,0.08135456,0.2587146,0.2796026,0.2033228,0.0007141191,0.1214025,0.03582013,0.0,0.06205607,0.05980636,0.003929298,0.01434621,0.0,0.02853482,0.9598941,0.9525977,0.01501761,0.01077022,0
0.2059155,0.887273,0.9128222,0.1606628,0.1554649,0.009052742,0,0,0.00534539,0.08283475,0.258415,0.2812088,0.1994343,0.0007181724,0.1247366,0.03614902,0.0,0.06154214,0.05970623,0.003888728,0.01428144,0.0,0.03107442,0.9593481,0.9523043,0.01506181,0.01080714,0
0.203807,0.8857129,0.9119943,0.1607148,0.1555137,0.00919904,0,0,0.005306206,0.08373842,0.2580886,0.2821986,0.1945861,0.0007211023,0.1276442,0.03657591,0.0,0.06093988,0.05949926,0.003839105,0.01421433,0.0,0.03369039,0.9587728,0.9519863,0.01509031,0.01082799,0
0.2020319,0.8834627,0.9109607,0.1606445,0.1554814,0.009336008,0,0,0.005283636,0.08440258,0.2573971,0.282447,0.1926259,0.0007249283,0.1289647,0.03697999,0.0,0.06046644,0.05940676,0.003799292,0.01418261,0.0,0.03505593,0.9582684,0.9517179,0.01511093,0.0108578,0
0.2013631,0.8824367,0.9102613,0.1604026,0.1552198,0.009424644,0,0,0.00526786,0.08468592,0.2559191,0.2813803,0.1916062,0.0007264338,0.129403,0.03734273,0.0,0.06023043,0.05943651,0.003761595,0.01420048,0.0,0.03607216,0.9579685,0.9515979,0.01511765,0.01086385,0
0.2009607,0.8815539,0.9095544,0.1602133,0.1550176,0.009480184,0,0,0.005252481,0.08473357,0.2550389,0.2806261,0.1908723,0.0007271209,0.129536,0.03763085,0.0,0.06012625,0.05954692,0.003723599,0.01420529,0.0,0.03667076,0.9577515,0.951519,0.01510067,0.01085243,0
0.200537,0.8807211,0.9087869,0.159863,0.1546598,0.009559049,0,0,0.005252843,0.08492915,0.2524477,0.2778021,0.1904515,0.0007279927,0.1295206,0.03789334,0.0,0.05995319,0.05953341,0.003691958,0.01424774,0.0,0.03717413,0.9574202,0.9513197,0.01509836,0.01084592,0
0.1995278,0.8801486,0.9081879,0.1595251,0.1542822,0.009663679,0,0,0.005245239,0.08540206,0.2505714,0.2766126,0.1900638,0.0007298628,0.1293817,0.03818759,0.0,0.05962219,0.05940146,0.003656567,0.01426185,0.0,0.03791279,0.9570864,0.9511702,0.01513402,0.0108584,0
0.1989194,0.8798189,0.9077731,0.1589858,0.1534835,0.009746954,0,0,0.005237217,0.08564913,0.2495451,0.2759842,0.1895556,0.0007315431,0.129394,0.03857982,0.0,0.0593619,0.05937193,0.003619956,0.0142832,0.0,0.03876902,0.9567959,0.9510772,0.0152084,0.01089206,0
0.1982621,0.8793989,0.9072437,0.1585108,0.1528409,0.009882194,0,0,0.005248469,0.0860779,0.2472894,0.2742636,0.1891064,0.0007358384,0.1292705,0.03899399,0.0,0.05902689,0.05920478,0.003598033,0.01433,0.0,0.03948005,0.9563558,0.9508105,0.01530235,0.01093534,0
0.194811,0.8789185,0.9066243,0.1552943,0.1477923,0.009971626,0,0,0.005233021,0.08604555,0.2470231,0.2740621,0.1847103,0.0007441278,0.1299681,0.03937097,0.0,0.05892174,0.05912392,0.003574392,0.01432714,0.0,0.03996671,0.9560258,0.9505813,0.01551103,0.0110478,0
0.1934344,0.8776776,0.9051133,0.1541072,0.1461516,0.01015699,0,0,0.005259327,0.08617562,0.2465392,0.273636,0.1807267,0.0007609727,0.130307,0.03973254,0.0,0.05873933,0.05899843,0.003570846,0.01436515,0.0,0.04056771,0.9554415,0.9501307,0.01573194,0.01118839,0
0.1921203,0.8772738,0.9043971,0.153103,0.1448579,0.01030916,0,0,0.0052577,0.08620048,0.2468152,0.2733303,0.1754878,0.0007767489,0.1303591,0.03981797,0.0,0.05867955,0.05868535,0.0035504,0.01431771,0.0,0.04051511,0.955156,0.9497974,0.01600521,0.01132955,0
0.1916372,0.877077,0.9038014,0.1523548,0.1438016,0.0104929,0,0,0.005269935,0.08621318,0.2465339,0.2632196,0.1734243,0.0007893153,0.1288939,0.03982965,0.0,0.05833131,0.05705402,0.003533288,0.01426753,0.0,0.03938447,0.9548132,0.9492118,0.01618706,0.01139012,0
0.1914524,0.8772452,0.9034874,0.1518613,0.1430164,0.01066474,0,0,0.005284652,0.0862361,0.2456662,0.2558227,0.1725311,0.0007929783,0.1210264,0.03980494,0.0,0.05732493,0.05335185,0.003509356,0.01421076,0.0,0.03867925,0.9544353,0.948536,0.01627235,0.01137929,0
0.1912905,0.877578,0.9032784,0.1515809,0.1423849,0.01079565,0,0,0.005300215,0.08606227,0.2449187,0.2519118,0.1724834,0.0007901887,0.1162657,0.03963345,0.0,0.05582342,0.04982067,0.003485633,0.01415397,0.0,0.03804226,0.9540287,0.947704,0.01628232,0.01130899,0
0.1914499,0.8761945,0.8987773,0.1507911,0.1406423,0.011103,0,0,0.005390601,0.08541724,0.2410346,0.247692,0.1716558,0.0007900731,0.114083,0.03948591,0.0,0.0544239,0.04687849,0.003465011,0.01414688,0.0,0.0373197,0.9527803,0.9439632,0.01645787,0.01123997,0
