jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.04893038,0.07788124,0.07320895,0.1658634,0.1861518,0.120562,0.228289,0.2212838,0.0345673,0.111951,0.02000356,0.01723158,0.05084557,0.05336064,0.0372596,0.001786974,0.001437622,0.03139606,0.02382887,0.07577114,0.1015425,0.02707736,0.0,0.0,0.0,0.01055372,0.008560072,0,
0.04822547,0.07527212,0.07113627,0.1650104,0.1849132,0.1204813,0.2287836,0.2216412,0.03420829,0.1114501,0.02004766,0.01730748,0.0506771,0.05375487,0.0373497,0.001718273,0.001359769,0.0315481,0.02411734,0.07588525,0.1015019,0.02673952,0.0,0.0,0.0,0.01061891,0.008637335,0,
0.04776663,0.07426262,0.07026832,0.1645847,0.1844891,0.1208384,0.2291593,0.2219851,0.03386908,0.1111563,0.0201435,0.01742371,0.05055148,0.05432248,0.03760068,0.001691133,0.001261545,0.03163245,0.02431786,0.07621726,0.1012717,0.0264644,0.0,0.0,0.0,0.01068686,0.008711051,0,
0.04659716,0.07205628,0.06835315,0.1637263,0.1826452,0.1210869,0.228906,0.2218837,0.03336056,0.1105726,0.0201924,0.0175112,0.05029954,0.05493512,0.03766586,0.001696347,0.001166438,0.03178931,0.02460585,0.07659291,0.1008965,0.02588002,0.0,0.0,0.0,0.01076042,0.008797825,0,
0.04605017,0.07113174,0.06751893,0.1633467,0.1821997,0.1212368,0.2290377,0.2219033,0.03304883,0.110217,0.02025965,0.0175898,0.05019563,0.05548444,0.03781956,0.001628601,0.001076387,0.03191544,0.02479361,0.07696015,0.1008598,0.02557703,0.0,0.0,0.0,0.01082573,0.00887952,0,
0.04520135,0.07023136,0.06665882,0.1627581,0.1816751,0.1214575,0.2286313,0.2207172,0.03258859,0.1098911,0.02033542,0.0176677,0.05006529,0.05617658,0.0379161,0.001530168,0.001053668,0.03218752,0.0250761,0.0774999,0.1007262,0.02543875,0.0,0.0,0.0,0.0109305,0.008988916,0,
0.04460572,0.06942693,0.06589862,0.1622844,0.1813282,0.1219632,0.2285511,0.220484,0.03226537,0.1096294,0.02039717,0.01773738,0.04990984,0.05683694,0.03806891,0.001462329,0.0009875065,0.03236966,0.02529254,0.07793102,0.1006314,0.02511067,0.0,0.0,0.0,0.01101776,0.009095591,0,
0.04391033,0.06867833,0.06516492,0.1617486,0.1809253,0.1225894,0.2280116,0.2197823,0.031877,0.1094246,0.02045677,0.01779791,0.04972916,0.05796391,0.03811812,0.001365076,0.0009756512,0.03267007,0.0255908,0.07854335,0.1006001,0.02501529,0.0,0.0,0.0,0.0111286,0.009214367,0,
0.04353416,0.06819024,0.06472328,0.161723,0.1810084,0.1232386,0.2277078,0.2194172,0.03164656,0.1093315,0.02049072,0.0178401,0.04968366,0.05845618,0.0381831,0.001366285,0.0009188181,0.03274327,0.02573508,0.0789727,0.1006799,0.02468354,0.0,0.0,0.0,0.01116659,0.009279255,0,
0.04299639,0.0676156,0.06417834,0.1614954,0.1811235,0.1238132,0.2279055,0.2193906,0.03131401,0.1091427,0.0205321,0.01787131,0.04955595,0.05900095,0.03828057,0.001290436,0.0009258024,0.03288384,0.02586916,0.07935973,0.1006819,0.02466094,0.0,0.0,0.0,0.01119408,0.009334724,0,
0.04392383,0.06782017,0.0643766,0.1643782,0.1878918,0.1245117,0.228297,0.2198528,0.03158006,0.1094806,0.020494,0.01783911,0.049698,0.05892721,0.03828868,0.001263522,0.0008770623,0.03270895,0.02577523,0.07940763,0.1026174,0.02457795,0.0,0.0,0.0,0.01113977,0.009311683,0,
