jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06803901,0.5642184,0.6109554,0.1135136,0.1274542,0.009381761,0.0,0.0,0.001982377,0.03830881,0.3722366,0.3263679,0.07507384,0.007636484,0.1273403,0.0,0.01138557,0.09424125,0.06928371,0.006864883,0.005097039,0.001362916,0.002301572,0.9500777,0.9347402,0.02352283,0.01985208,0,
0.0675467,0.5592052,0.6059497,0.1129522,0.1265076,0.009494514,0.0,0.0,0.002009924,0.03857777,0.3668561,0.3217818,0.07504009,0.007678236,0.1282065,0.0,0.01105902,0.09355874,0.06885272,0.006911271,0.005173475,0.001572343,0.002119329,0.9472892,0.9313576,0.02357062,0.01985109,0,
0.06702302,0.5567367,0.6034406,0.1112418,0.1233411,0.009677591,0.0,0.0,0.00203689,0.03893846,0.3645528,0.3187667,0.07493554,0.007775666,0.130786,0.0,0.01073857,0.09198561,0.06799779,0.006957859,0.005231782,0.002003366,0.001951064,0.9446955,0.9277264,0.02361665,0.01984643,0,
0.06662202,0.5467972,0.5960049,0.1100862,0.1212569,0.00988388,0.0,0.0,0.002076848,0.03941064,0.355728,0.3078138,0.07480884,0.007884331,0.1334817,0.0,0.01033778,0.09094381,0.06732392,0.007034851,0.005333963,0.002600031,0.001795916,0.9377607,0.9180658,0.02367837,0.01985349,0,
0.06629387,0.5434631,0.5934958,0.1092109,0.1200157,0.01015722,0.0,0.0,0.002126187,0.04003553,0.3498271,0.299021,0.07485094,0.007995028,0.1359892,0.0,0.009995543,0.08766784,0.06536669,0.007135328,0.005455164,0.003933536,0.001652976,0.9314954,0.9087445,0.02368462,0.01983749,0,
0.06611665,0.5354801,0.5880446,0.1085656,0.1191418,0.01046032,0.0,0.0,0.002190835,0.04069525,0.3363986,0.2885079,0.07490425,0.008092946,0.1376772,0.0,0.009691094,0.08488613,0.06387438,0.00725478,0.005618546,0.00476165,0.001521343,0.922449,0.8979186,0.02365878,0.01979131,0,
0.06610582,0.5294782,0.5837366,0.1082282,0.1186263,0.0108002,0.0,0.0,0.002271177,0.04168344,0.3232656,0.2742163,0.07493066,0.008205632,0.1383915,0.0,0.009469124,0.08328302,0.06284326,0.007400957,0.005815562,0.00664943,0.001400156,0.9150426,0.8871392,0.02361833,0.01973895,0,
0.06602659,0.5078372,0.5632403,0.1079807,0.1182403,0.01121623,0.0,0.0,0.002363387,0.04338006,0.317632,0.2689544,0.07496402,0.008394139,0.1389439,0.0,0.009268356,0.08222316,0.06206943,0.007591022,0.006023744,0.007677132,0.001288602,0.9081325,0.8788496,0.02365541,0.01978124,0,
0.06597768,0.4896862,0.5466281,0.1078379,0.118049,0.0116746,0.0,0.0,0.002464941,0.04604601,0.3132129,0.2616795,0.07479957,0.008697415,0.1396655,0.0,0.009118902,0.08191472,0.06166005,0.007845785,0.00627901,0.01188868,0.001185926,0.8949701,0.8559579,0.02376818,0.01991985,0,
0.0658429,0.4787382,0.5363897,0.1075844,0.1177276,0.01217141,0.0,0.0,0.002565414,0.0486148,0.3089611,0.2565222,0.07451758,0.009068602,0.1427003,0.0,0.008954789,0.08167742,0.06130925,0.008112878,0.006554883,0.01433691,0.001091425,0.8844116,0.8443367,0.02394965,0.02011115,0,
0.06580973,0.4726464,0.5310214,0.1072338,0.11729,0.01268339,0.0,0.0,0.002664316,0.05045132,0.3050428,0.252028,0.07410137,0.009439504,0.1443463,0.0,0.008706641,0.08153816,0.0610132,0.008352814,0.006835344,0.01588692,0.001004451,0.880001,0.8391417,0.02414192,0.02030272,0,
0.0657198,0.4635659,0.5241362,0.1068979,0.1168422,0.01319879,0.0,0.0,0.002756884,0.0519699,0.301148,0.2483165,0.07349733,0.009863321,0.1486378,0.0,0.008402769,0.08152751,0.0608665,0.008594291,0.007120878,0.01727971,0.0009244069,0.8744371,0.832969,0.02436612,0.02053917,0,
0.06571142,0.4601193,0.5213546,0.1067728,0.1165913,0.01372225,0.0,0.0,0.002846908,0.05316776,0.2976565,0.2464907,0.07287106,0.0103006,0.1512034,0.0,0.008014102,0.08150395,0.06083824,0.00883431,0.007392121,0.0180911,0.0008507402,0.8694347,0.8288518,0.02457547,0.020767,0,
0.06569826,0.4584358,0.5200475,0.1066017,0.1163119,0.0142345,0.0,0.0,0.002928984,0.05403927,0.2950899,0.2452386,0.07225156,0.01071207,0.1524528,0.0,0.007655574,0.0813262,0.06077505,0.009061887,0.007643206,0.01851728,0.0007829437,0.8672345,0.8269866,0.02473274,0.02095341,0,
