jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.005971811,0.02715955,0.03634509,0.08042157,0.08082069,0.05791593,-0.001175793,0.03467453,0.002271946,0.04969018,0.07949769,0.086659,0.01126583,0.1809626,0.1342208,0.04667725,0.0,0.07445091,0.08969037,0.03325942,0.020592,2.419208e-05,0.01559386,0.001465343,0.04000176,0.02778242,0.0268225,0,
0.00587541,0.02701084,0.03609352,0.0792553,0.08015601,0.0576516,-0.001082092,0.04566094,0.00224516,0.04951831,0.07929596,0.08627702,0.01119613,0.1968642,0.13422,0.04646493,0.0,0.07481839,0.08992239,0.0333031,0.02049995,2.226416e-05,0.01493845,0.001348572,0.02785583,0.02796131,0.02697628,0,
0.005778683,0.02689159,0.03588422,0.07840066,0.07950526,0.05737416,-0.0009958581,0.04838326,0.002216454,0.04930497,0.07927749,0.0860836,0.01113406,0.2037923,0.1343753,0.04626732,0.0,0.07535507,0.09035553,0.03337002,0.02038446,2.048989e-05,0.01427198,0.001241104,0.02472251,0.02818303,0.02717905,0,
0.005684832,0.02675642,0.03565564,0.07764369,0.07888371,0.057163,-0.0009164962,0.0498915,0.002189918,0.049001,0.07918564,0.08580261,0.01106309,0.2078304,0.1345287,0.04612534,0.0,0.07585998,0.09076305,0.0334463,0.02025549,1.885701e-05,0.01360944,0.001142199,0.02302023,0.02833988,0.02731898,0,
0.005581812,0.02662593,0.03542323,0.07692857,0.07822213,0.05703071,-0.0008434588,0.05017074,0.002157929,0.04876564,0.07936695,0.08581869,0.01099809,0.2205855,0.1349632,0.04597089,0.0,0.07675917,0.09169786,0.03359263,0.02010578,1.735426e-05,0.01302052,0.001051176,0.02254163,0.02863835,0.02758713,0,
0.005473052,0.0264939,0.03520121,0.07625323,0.07759186,0.05696762,-0.0007762419,0.0499891,0.002123008,0.04859712,0.07956482,0.08583426,0.01093618,0.226297,0.1353063,0.04582102,0.0,0.0773892,0.09229997,0.0337455,0.0199455,1.597126e-05,0.0124069,0.000967406,0.02243204,0.02896333,0.0278825,0,
0.005379053,0.02640912,0.03504069,0.07576647,0.07713145,0.05714556,-0.0007143816,0.04227334,0.002095768,0.04845946,0.07963369,0.08571693,0.01087054,0.2286862,0.1353411,0.04566012,0.0,0.07788549,0.09274056,0.03385215,0.01981193,1.469848e-05,0.01180303,0.0008903117,0.0258972,0.0292308,0.02812418,0,
0.005282409,0.026319,0.03488352,0.07525566,0.07667188,0.05724514,-0.000657451,0.04034068,0.002064876,0.04830583,0.07972949,0.08570702,0.01080995,0.2301158,0.1353719,0.04551616,0.0,0.07833676,0.09322474,0.03389252,0.01968157,1.352713e-05,0.01139198,0.0008193611,0.02690786,0.0295282,0.02840506,0,
0.005198656,0.02625036,0.03475353,0.07483084,0.07625933,0.05746179,-0.0006050575,0.03954005,0.002040837,0.04816811,0.07970909,0.08556531,0.01074545,0.2304079,0.1352795,0.0454189,0.0,0.07853526,0.09345376,0.03392229,0.01960592,1.244912e-05,0.01108862,0.0007540647,0.02746943,0.02976743,0.02860463,0,
0.005120119,0.02615945,0.03460839,0.07445575,0.07589731,0.0576764,-0.0005568392,0.03922556,0.002019375,0.0480296,0.07949914,0.08523344,0.01067345,0.227056,0.1350059,0.04531903,0.0,0.07852308,0.09343214,0.0338827,0.01951292,1.145703e-05,0.01073677,0.0006939718,0.027804,0.02988626,0.02868409,0,
0.005060675,0.02613632,0.03455524,0.07420617,0.07560576,0.05780975,-0.0005124636,0.03911091,0.002001027,0.04792143,0.0793061,0.08501209,0.01062283,0.2238208,0.1347897,0.0453193,0.0,0.0783865,0.09346652,0.03382383,0.01942941,1.054399e-05,0.01062652,0.0006386678,0.02845915,0.02996887,0.02870875,0,
0.004998617,0.02607882,0.03445936,0.07389525,0.07533839,0.05793235,-0.0004716243,0.03838804,0.001982136,0.0478274,0.07913592,0.08468856,0.01056622,0.2219307,0.1345855,0.04513322,0.0,0.07825949,0.09322979,0.03371979,0.01932503,9.703722e-06,0.01023298,0.0005877711,0.02902672,0.03000953,0.02871834,0,
0.004936786,0.0259961,0.03432732,0.0736571,0.07505007,0.05804571,-0.0004340397,0.0384531,0.00196479,0.04773005,0.07897424,0.0844724,0.01052473,0.2212141,0.1343117,0.04515643,0.0,0.07826333,0.09333209,0.03375004,0.01925623,8.930413e-06,0.01013094,0.0005409305,0.02944936,0.03010587,0.0287629,0,
0.004890171,0.02596069,0.03424934,0.07340824,0.07476062,0.05808911,-0.0003994502,0.03838727,0.00195157,0.04767956,0.07887767,0.08433437,0.01049947,0.2208754,0.1341267,0.0451999,0.0,0.07849731,0.09367295,0.03382887,0.01921065,8.218731e-06,0.01008642,0.0004978226,0.03037822,0.03018006,0.02880981,0,
0.004806668,0.02587168,0.03408621,0.07306945,0.07431793,0.05824542,-0.000338321,0.03885357,0.001929149,0.04770299,0.07850099,0.0838859,0.01046039,0.2203258,0.1337557,0.04537463,0.0,0.07846731,0.09382454,0.0339242,0.01912222,6.960992e-06,0.01010141,0.0004216393,0.03136382,0.03025173,0.0288301,0,
0.004761266,0.02582975,0.03398982,0.07283461,0.07400493,0.05833297,-0.0003113596,0.03876037,0.001913652,0.04769778,0.07821227,0.08355232,0.01041124,0.2201221,0.1322419,0.04541295,0.0,0.07837113,0.09379321,0.03394757,0.01906145,6.406257e-06,0.01010955,0.000388038,0.03201631,0.03025306,0.02881663,0,
0.004724416,0.02577367,0.0338865,0.07259174,0.07372431,0.05835659,-0.0002865467,0.03987536,0.001902613,0.04769756,0.07791337,0.08327851,0.01036786,0.2200365,0.1316811,0.04546371,0.0,0.07826684,0.09383864,0.03399774,0.01899119,5.895729e-06,0.01020517,0.0003571145,0.03222276,0.03021947,0.02877926,0,
0.004674129,0.02569251,0.03374989,0.07225456,0.07335164,0.05842227,-0.0002637113,0.04116338,0.001886045,0.04766939,0.07757504,0.08295184,0.01032347,0.2201935,0.1310107,0.04549642,0.0,0.07817512,0.09390014,0.03403259,0.01892865,5.425887e-06,0.0102571,0.0003286553,0.03222675,0.03023161,0.0287789,0,
0.004616475,0.02559703,0.03359508,0.0719212,0.07302174,0.05834853,-0.0002426956,0.04189137,0.001867484,0.04760328,0.07730298,0.08263095,0.01029148,0.2207091,0.1306106,0.04548221,0.0,0.0782013,0.09396323,0.03408476,0.0188464,4.993487e-06,0.01017728,0.0003024641,0.03203959,0.03027063,0.02882343,0,
0.00456869,0.02551733,0.03346338,0.07164285,0.07273585,0.05816548,-0.0002233547,0.04208386,0.001850062,0.04755367,0.07709768,0.08242582,0.01026202,0.2209136,0.1302243,0.04550871,0.0,0.07827085,0.09412383,0.0341147,0.01876661,4.595545e-06,0.01018633,0.0002783602,0.03299761,0.03029323,0.02885422,0,
0.00452328,0.02543762,0.03333127,0.07143314,0.0724885,0.05796133,-0.0002055551,0.04202165,0.001833107,0.04751648,0.07701655,0.08231835,0.01024699,0.2213178,0.13005,0.04554826,0.0,0.07842054,0.09433033,0.03418225,0.01869154,4.229317e-06,0.0101712,0.0002561771,0.0335777,0.03032573,0.02889303,0,
0.004475215,0.02532802,0.03315143,0.07113869,0.07220306,0.05797156,-0.000189174,0.0421969,0.001817016,0.04761108,0.0769299,0.0821745,0.01022353,0.2237816,0.1297146,0.04552602,0.0,0.07850949,0.09435999,0.03431457,0.01860881,3.892275e-06,0.01002764,0.0002357618,0.03357101,0.03038324,0.02897141,0,
0.004428157,0.02521077,0.03296928,0.07084605,0.07192281,0.05784895,-0.0001740984,0.04225929,0.001801324,0.04769224,0.07699965,0.082174,0.01021281,0.2271803,0.1296501,0.04553049,0.0,0.07881744,0.09460051,0.03448642,0.01852567,3.582092e-06,0.009842649,0.0002169735,0.03358155,0.030477,0.02908146,0,
